make,model,year,mileage,fuelType,engineCapacity,price
Skoda,RAPID,2019,19 700 km,Benzina,998 cm3,9 877
Volkswagen,Polo,2014,214 000 km,Diesel,1 600 cm3,5 990
Audi,Q5,2011,261 589 km,Diesel,1 968 cm3,13 500
Dacia,Logan,2014,61 000 km,Diesel,1 461 cm3,4 950
Volvo,XC,2009,212 000 km,Diesel,2 400 cm3,9 750
Opel,Insignia,2012,300 000 km,Diesel,1 956 cm3,4 900
Nissan,Juke,2014,83 000 km,Benzina,1 598 cm3,9 500
Volkswagen,Golf,2016,199 000 km,Diesel,1 598 cm3,8 890
BMW,Seria 5,2007,265 000 km,Diesel,1 995 cm3,5 190
BMW,X3,2011,96 800 km,Diesel,2 000 cm3,14 999
BMW,X3,2012,234 000 km,Diesel,2 000 cm3,13 500
Chevrolet,Tahoe,2001,120 000 km,Benzina,5 327 cm3,7 800
Skoda,Superb,2016,123 000 km,Diesel,1 968 cm3,15 500
Renault,Megane,2011,248 500 km,Diesel,1 870 cm3,4 800
Nissan,Qashqai,2012,197 845 km,Diesel,1 598 cm3,7 700
Audi,Q3,2017,176 000 km,Diesel,1 998 cm3,18 950
Mazda,CX-5,2018,166 000 km,Diesel,2 200 cm3,18 990
Audi,A6,2016,194 000 km,Diesel,3 000 cm3,15 750
Renault,Talisman,2016,147 700 km,Diesel,1 600 cm3,13 750
Mazda,CX-5,2015,75 547 km,Diesel,2 191 cm3,19 028
Ford,Focus,2010,229 000 km,Diesel,1 586 cm3,3 190
Mercedes-Benz,S,2012,207 000 km,Diesel,2 993 cm3,15 750
Audi,Q5,2010,201 670 km,Diesel,2 000 cm3,9 690
Skoda,Karoq,2018,168 000 km,Diesel,2 000 cm3,16 950
Mercedes-Benz,E,2011,202 000 km,Diesel,2 143 cm3,8 950
Mercedes-Benz,GLE,2015,134 560 km,Diesel,2 987 cm3,40 989
BMW,Seria 3,2011,313 000 km,Diesel,1 995 cm3,6 950
Volkswagen,Golf,2009,153 000 km,Diesel,1 896 cm3,4 299
Mercedes-Benz,E,2017,148 500 km,Diesel,2 987 cm3,26 490
Volkswagen,Amarok,2016,74 000 km,Diesel,1 968 cm3,22 850
Volvo,XC,2016,173 000 km,Diesel,1 969 cm3,28 970
Nissan,Qashqai,2012,147 250 km,Diesel,1 995 cm3,8 290
BMW,X5,2019,49 500 km,Diesel,2 993 cm3,64 000
Audi,A6,2017,175 657 km,Diesel,1 968 cm3,23 788
Toyota,Highlander,2007,192 000 km,Hibrid,3 311 cm3,6 800
BMW,Seria 1,2016,46 473 km,Diesel,1 995 cm3,18 490
Lincoln,MKZ,2012,150 000 km,Hibrid,2 500 cm3,6 800
Citroën,DS5,2014,130 000 km,Diesel,1 560 cm3,8 990
BMW,X1,2010,266 000 km,Diesel,1 995 cm3,9 499
Peugeot,308,2017,200 000 km,Diesel,1 997 cm3,8 490
Volkswagen,Golf,2010,231 000 km,Diesel,1 600 cm3,5 399
Opel,Astra,2005,221 000 km,Diesel,1 700 cm3,2 499
Dacia,Sandero,2010,199 000 km,Benzina,1 400 cm3,2 999
Renault,Clio,2008,191 000 km,Benzina,1 200 cm3,2 999
Volkswagen,Passat,2009,268 000 km,Diesel,1 968 cm3,4 399
Audi,A4,2006,242 000 km,Diesel,1 896 cm3,4 199
Mercedes-Benz,GL,2007,157 300 km,Diesel,2 987 cm3,15 800
Peugeot,508,2012,245 000 km,Hibrid,1 997 cm3,8 490
Volkswagen,Golf,2010,241 845 km,Benzina,1 390 cm3,4 290
Ford,Mustang,2020,9 842 km,Benzina,5 038 cm3,43 980
Hyundai,Santa,2014,187 000 km,Diesel,2 199 cm3,12 700
Volkswagen,Passat,2009,270 085 km,Benzina,1 390 cm3,3 990
Volkswagen,Touran,2017,156 879 km,Diesel,1 968 cm3,17 890
