make,model,year,mileage,fuelType,engineCapacity,cylinders,price
skoda,rapid,2019,19700,benzina,998,3,9877
volkswagen,polo,2014,214000,diesel,1600,4,5990
audi,q5,2011,261589,diesel,1968,4,13500
dacia,logan,2014,61000,diesel,1461,4,4950
volvo,xc,2009,212000,diesel,2400,4,9750
opel,insignia,2012,300000,diesel,1956,4,4900
nissan,juke,2014,83000,benzina,1598,4,9500
volkswagen,golf,2016,199000,diesel,1598,4,8890
bmw,seria5,2007,265000,diesel,1995,4,5190
bmw,x3,2011,96800,diesel,2000,4,14999
bmw,x3,2012,234000,diesel,2000,4,13500
chevrolet,tahoe,2001,120000,benzina,5327,8,7800
skoda,superb,2016,123000,diesel,1968,4,15500
renault,megane,2011,248500,diesel,1870,4,4800
nissan,qashqai,2012,197845,diesel,1598,4,7700
audi,q3,2017,176000,diesel,1998,4,18950
mazda,cx-5,2018,166000,diesel,2200,4,18990
audi,a6,2016,194000,diesel,3000,6,15750
renault,talisman,2016,147700,diesel,1600,4,13750
mazda,cx-5,2015,75547,diesel,2191,4,19028
ford,focus,2010,229000,diesel,1586,4,3190
mercedes-benz,s,2012,207000,diesel,2993,4,15750
audi,q5,2010,201670,diesel,2000,4,9690
skoda,karoq,2018,168000,diesel,2000,4,16950
mercedes-benz,e,2011,202000,diesel,2143,4,8950
mercedes-benz,gle,2015,134560,diesel,2987,4,40989
bmw,seria3,2011,313000,diesel,1995,4,6950
volkswagen,golf,2009,153000,diesel,1896,4,4299
mercedes-benz,e,2017,148500,diesel,2987,4,26490
volkswagen,amarok,2016,74000,diesel,1968,4,22850
volvo,xc,2016,173000,diesel,1969,4,28970
nissan,qashqai,2012,147250,diesel,1995,4,8290
bmw,x5,2019,49500,diesel,2993,4,64000
audi,a6,2017,175657,diesel,1968,4,23788
toyota,highlander,2007,192000,hibrid,3311,6,6800
bmw,seria1,2016,46473,diesel,1995,4,18490
lincoln,mkz,2012,150000,hibrid,2500,4,6800
citroën,ds5,2014,130000,diesel,1560,4,8990
bmw,x1,2010,266000,diesel,1995,4,9499
peugeot,308,2017,200000,diesel,1997,4,8490
volkswagen,golf,2010,231000,diesel,1600,4,5399
opel,astra,2005,221000,diesel,1700,4,2499
dacia,sandero,2010,199000,benzina,1400,4,2999
renault,clio,2008,191000,benzina,1200,4,2999
volkswagen,passat,2009,268000,diesel,1968,4,4399
audi,a4,2006,242000,diesel,1896,4,4199
mercedes-benz,gl,2007,157300,diesel,2987,4,15800
peugeot,508,2012,245000,hibrid,1997,4,8490
volkswagen,golf,2010,241845,benzina,1390,4,4290
ford,mustang,2020,9842,benzina,5038,8,43980
hyundai,santa,2014,187000,diesel,2199,4,12700
volkswagen,passat,2009,270085,benzina,1390,4,3990
volkswagen,touran,2017,156879,diesel,1968,4,17890
opel,vivaro,2010,195000,diesel,1995,4,5500
bmw,seria7,2013,226300,diesel,2993,4,20999
volkswagen,tiguan,2009,190000,diesel,1968,4,7999
skoda,octavia,2018,138900,diesel,1968,4,14990
bmw,x1,2011,249000,diesel,1995,4,8450
mercedes-benz,c,2016,189000,diesel,2143,4,21990
audi,a6,2018,189000,diesel,1968,4,16990
renault,megane,2012,199999,diesel,1461,4,5599
mercedes-benz,e,2017,59000,diesel,2987,4,45000
renault,megane,2014,155000,diesel,1461,4,6190
dacia,logan,2015,135000,diesel,1461,4,4900
bmw,seria3,2016,102000,diesel,1995,4,15799
renault,kadjar,2015,188954,diesel,1598,4,11800
audi,a5,2018,70773,diesel,1968,4,24600
mercedes-benz,b,2017,100000,diesel,1461,4,12490
ford,kuga,2016,119428,diesel,1997,4,15899
lexus,seria,2013,98000,hibrid,3450,6,20000
ford,fiesta,2015,50800,benzina,999,3,7265
bmw,x6,2014,167000,diesel,2993,4,19690
audi,a6,2016,164500,diesel,2000,4,16450
mercedes-benz,gls,2017,141000,diesel,3000,6,40950
opel,combo,2017,138500,diesel,1598,4,10353
audi,a4,2009,174000,diesel,1968,4,8400
bmw,m5,2020,1,benzina,4395,8,129710
volkswagen,phaeton,2014,168000,diesel,2967,4,16600
opel,zafira,2016,184000,diesel,1598,4,9199
ford,mondeo,2012,207000,diesel,1600,4,4150
mercedes-benz,glc,2016,176200,diesel,2143,4,24950
audi,a6,2013,236711,diesel,1968,4,12980
dacia,duster,2011,247000,diesel,1461,4,6990
volkswagen,passat,2015,199033,diesel,1598,4,10489
volkswagen,passat,2015,175600,diesel,1968,4,13440
mini,cooper,2015,212900,diesel,1496,4,9600
audi,q8,2019,29311,diesel,2967,4,71281
volkswagen,jetta,2012,147000,benzina,1390,4,7750
audi,a6,2013,168,diesel,2000,4,14000
opel,insignia,2009,200000,diesel,1956,4,6790
volkswagen,passat,2016,161000,diesel,1598,4,13390
mazda,6,2010,221000,diesel,2184,4,5299
volkswagen,golf,2008,225000,diesel,1900,4,3990
volkswagen,passat,2009,221000,diesel,1968,4,3999
audi,a4,2018,156000,diesel,1968,4,18998
skoda,octavia,2016,118921,diesel,1968,4,10799
renault,scenic,2010,191000,diesel,1461,4,3990
mercedes-benz,c,2013,190000,benzina,1595,4,10590
audi,a5,2018,138000,diesel,1995,4,23900
bmw,x5,2017,113000,diesel,2993,4,37899
audi,q3,2017,110000,diesel,1968,4,15898
renault,megane,2013,239000,diesel,1461,4,4250
volkswagen,golf,2014,74000,diesel,1598,4,10472
bmw,seria3,2005,205000,diesel,1995,4,4799
opel,mokka,2015,196500,diesel,1686,4,9400
mercedes-benz,e,2013,245969,diesel,2143,4,8600
mercedes-benz,c,2015,179560,diesel,1598,4,14500
renault,talisman,2016,158879,diesel,1598,4,14490
bmw,x3,2015,96000,diesel,1995,4,21900
nissan,qashqai,2014,160981,diesel,1598,4,11990
